Disease,Description,Medications,Precautions
Fungal infection,"A skin disease caused by a fungus. Common types include athlete foot, ringworm, and yeast infections.","Clotrimazole (Canesten), Ketoconazole, Terbinafine (Lamisil), Fluconazole","Keep skin clean and dry, Wear loose cotton clothes, Avoid sharing personal items like towels, Use antifungal soap"
Allergy,"A reaction by your immune system to something that does not bother most other people.","Cetirizine (Zyrtec), Loratadine (Claritin), Diphenhydramine (Benadryl), Fluticasone (Flonase)","Avoid known allergens, Use air purifiers, Apply calamine for skin irritation, Keep windows closed during high pollen"
GERD,"Gastroesophageal reflux disease occurs when stomach acid flows back into the food pipe, causing irritation.","Omeprazole (Prilosec), Ranitidine (Zantac), Famotidine (Pepcid), Mylanta","Eat small, frequent meals, Avoid lying down after eating, Avoid spicy and fatty foods, Elevate head while sleeping"
Chronic cholestasis,"A condition where bile flow from the liver is reduced or blocked for a long period.","Ursodeoxycholic Acid, Cholestyramine, Vitamin A, D, E, K Supplements","Eat a low-fat diet, Supplement with fat-soluble vitamins, Avoid alcohol, Consult a liver specialist"
Drug Reaction,"An adverse reaction of the body to a medication prescribed by a doctor or taken over the counter.","Epinephrine (for severe reactions), Antihistamines, Corticosteroids","Stop taking the suspected drug, Seek immediate medical help for breathing issues, Stay hydrated, Consult your doctor"
Peptic ulcer disease,"Sores that develop on the lining of the stomach, lower esophagus, or small intestine.","Amoxicillin (if H. pylori), Clarithromycin, Pantoprazole, Sucralfate","Avoid NSAIDs like Ibuprofen, Reduce stress levels, Quit smoking, Avoid spicy and acidic foods"
AIDS,"Acquired Immunodeficiency Syndrome is a chronic, life-threatening condition caused by HIV.","Tenofovir, Lamivudine, Dolutegravir (ART Combination)","Strict adherence to ART medication, Practice safe sex, Maintain a high-nutrient diet, Get regular viral load tests"
Diabetes,"A group of diseases that result in too much sugar in the blood (high blood glucose).","Metformin, Insulin, Glipizide, Empagliflozin (Jardiance)","Monitor blood sugar daily, Low-carb, high-fiber diet, Regular physical activity, Stay hydrated"
Gastroenteritis,"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Loperamide (Imodium), Ondansetron (for vomiting), Oral Rehydration Salts (ORS)","Drink ORS (Oral Rehydration Solution), Eat bland foods like bananas and rice, Rest, Wash hands frequently"
Bronchial Asthma,"A respiratory condition where airways narrow and swell, often producing extra mucus.","Albuterol (Ventolin), Salbutamol, Fluticasone, Budisonide","Keep inhaler handy at all times, Avoid dust and smoke, Identify and avoid triggers, Perform breathing exercises"
Hypertension,"A condition where the force of the blood against the artery walls is too high (High Blood Pressure).","Amlodipine, Telmisartan, Lisinopril, Hydrochlorothiazide","Reduce salt/sodium intake, Manage stress through meditation, Daily aerobic exercise, Monitor BP regularly"
Migraine,"A headache of varying intensity, often accompanied by nausea and sensitivity to light and sound.","Sumatriptan, Rizatriptan, Naproxen, Excedrin Migraine","Rest in a dark, quiet room, Apply a cold compress, Maintain regular sleep patterns, Avoid trigger foods"
Cervical spondylosis,"Age-related wear and tear of the spinal disks in your neck.","Cyclobenzaprine (Muscle Relaxant), Diclofenac Gel, Ibuprofen","Maintain good posture, Use a supportive neck pillow, Perform gentle neck stretches, Avoid heavy lifting"
Paralysis (brain hemorrhage),"Loss of muscle function in part of your body, often caused by a stroke or severe brain injury.","Antihypertensives, Manitol (to reduce brain swelling), Citicoline","Immediate hospitalization, Intensive physical therapy, Blood pressure management, Regular neurological checkups"
Jaundice,"A yellowing of the skin and eyes caused by an excess of bilirubin in the blood.","Liv-52, Ursodeoxycholic acid, Vitamin B-Complex","Eat a light, easily digestible diet, Avoid oil and spices, Absolute rest, Drink plenty of water"
Malaria,"A life-threatening disease caused by parasites that are transmitted to people through infected mosquitoes.","Chloroquine, Arteether, Lumal (Artemether + Lumefantrine), Primaquine","Use mosquito nets (LLINs), Wear long-sleeved clothing, Use mosquito repellent creams, Complete the full course of medicines"
Chicken pox,"A highly contagious viral infection causing an itchy, blister-like rash on the skin.","Acyclovir, Calamine lotion, Paracetamol","Do not scratch the blisters, Wear light, cool clothing, Keep fingernails short, Isolate to prevent spread"
Dengue,"A mosquito-borne viral infection that causes high fever and severe flu-like symptoms.","Paracetamol (Dolo 650), ORS, Papaya Leaf Extract (Caripill)","Drink coconut water and plenty of fluids, Monitor platelet count, Use mosquito nets, Rest completely"
Typhoid,"An infectious bacterial fever with an eruption of red spots on the chest and abdomen.","Ceftriaxone, Azithromycin, Ciprofloxacin","Consume boiled water, Avoid street food, Maintain high personal hygiene, Take prescribed antibiotics"
Hepatitis A,"A highly contagious liver infection caused by the hepatitis A virus.","Symptomatic treatment, Vitamin B-Complex, Metadoxine","Avoid alcohol completely, Wash hands after using the restroom, Eat small portions of food, Get adequate rest"
Common Cold,"A viral infection of your nose and throat (upper respiratory tract).","Chlorpheniramine, Phenylephrine, Dextromethorphan (Cough Suppressant), Zinc Lozenges","Stay hydrated with warm fluids, Saltwater gargles, Get plenty of sleep, Use a humidifier"
Pneumonia,"An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Amoxicillin, Azithromycin, Levofloxacin, Guaifenesin","Complete the antibiotic course, Use a steam vaporizer, Monitor oxygen levels, Avoid exposure to cold air"
Varicose veins,"Gnarled, enlarged veins, most commonly appearing in the legs and feet.","Diosmin, Hesperidin, Rutin","Wear compression stockings, Avoid long periods of standing, Elevate legs while sitting, Regular walking or exercise"
Hypothyroidism,"A condition where the thyroid gland doesn't produce enough thyroid hormone.","Levothyroxine (Thyronorm), Liothyronine","Take thyroid medication on an empty stomach, Eat an iodine-rich diet, Monitor weight regularly, Check TSH levels periodically"
General Viral Fever,"A general term for any fever caused by a viral infection rather than bacteria.","Paracetamol, Ibuprofen, Electrolytes","Rest, Stay hydrated, Keep a temperature log, Consult a doctor if fever lasts >3 days"
Tuberculosis,"An infectious bacterial disease characterized by the growth of nodules in the tissues, especially the lungs.","Isoniazid, Rifampin, Ethambutol, Pyrazinamide","Cover mouth when coughing, Stay in a well-ventilated room, Complete the 6-month medicine course, Wear a mask"
Alcoholic hepatitis,"Inflammation of the liver caused by drinking alcohol.","Corticosteroids, Pentoxifylline, Vitamin Supplements","Stop drinking alcohol immediately, Eat a nutrient-rich diet, Consult a hepatologist, Stay hydrated"
Heart attack,"A blockage of blood flow to the heart muscle.","Aspirin, Clopidogrel, Nitroglycerin, Statins","Call emergency services immediately, Stay calm and rest, Do not exert yourself, Chew aspirin if advised by a doctor"
Dimorphic hemorrhoids(piles),"Swollen and inflamed veins in the rectum and anus that cause discomfort and bleeding.","Hydrocortisone cream, Lidocaine, Witch hazel pads, Psyllium husk","Eat high-fiber foods, Drink plenty of water, Do not strain during bowel movements, Take warm sitz baths"
Hyperthyroidism,"The overproduction of a hormone by the butterfly-shaped gland in the neck (thyroid).","Methimazole, Propylthiouracil, Beta blockers","Avoid excess iodine in diet, Manage stress, Practice relaxation techniques, Regular thyroid function tests"
Hypoglycemia,"A condition in which your blood sugar (glucose) level is lower than normal.","Glucose tablets, Glucagon injection, Dextrose","Carry fast-acting carbohydrates, Do not skip meals, Monitor blood sugar tightly, Avoid excess alcohol on empty stomach"
Osteoarthristis,"A type of arthritis that occurs when flexible tissue at the ends of bones wears down.","Acetaminophen, NSAIDs (Ibuprofen), Duloxetine, Capsaicin cream","Maintain a healthy weight, Low-impact exercise like swimming, Use hot/cold therapy, Rest affected joints"
Arthritis,"Inflammation of one or more joints, causing pain and stiffness that can worsen with age.","Methotrexate, Adalimumab, Celecoxib, Corticosteroid injections","Gentle daily stretching, Anti-inflammatory diet, Apply heat or ice, Consult a rheumatologist"
(vertigo) Paroymsal  Positional Vertigo,"Episodes of dizziness and a sensation of spinning with certain head movements.","Meclizine, Promethazine, Diazepam","Perform Epley maneuver safely, Change head positions slowly, Sit down when feeling dizzy, Keep lighting bright at night to avoid falls"
Acne,"A skin condition that occurs when hair follicles plug with oil and dead skin cells.","Benzoyl peroxide, Salicylic acid, Adapalene (Differin), Isotretinoin","Wash face twice daily, Do not pop pimples, Use non-comedogenic cosmetics, Avoid excessive sun exposure"
Urinary tract infection,"An infection in any part of the urinary system, the kidneys, bladder, or urethra.","Nitrofurantoin, Sulfamethoxazole-trimethoprim, Fosfomycin, Ciprofloxacin","Drink adequate water, Wipe front to back, Urinate after intercourse, Avoid irritating feminine products"
Psoriasis,"A condition in which skin cells build up and form scales and itchy, dry patches.","Topical corticosteroids, Calcipotriene, Coal tar, Biologics (Taltz)","Moisturize skin daily, Manage stress, Limit alcohol intake, Avoid cold and dry weather"
Impetigo,"A highly contagious skin infection that causes red sores on the face.","Mupirocin ointment, Retapamulin, Oral Cephalexin","Wash sores with soap and water, Do not scratch, Wash hands actively, Keep child home from school"
Hepatitis B,"A serious liver infection caused by the hepatitis B virus that's easily preventable by a vaccine.","Entecavir, Tenofovir, Interferon alfa-2b","Avoid sexual contact without condoms, Do not share needles, Get the Hep B vaccine, Monitor liver enzymes"
Hepatitis C,"An infection caused by a virus that attacks the liver and leads to inflammation.","Sofosbuvir, Velpatasvir, Ledipasvir","Avoid alcohol, Avoid medications processed by liver, Do not share personal razors or toothbrushes, Get screened if high risk"
Hepatitis D,"A serious liver disease caused by infection with the hepatitis D virus, occurs only in people infected with Hep B.","Pegylated interferon alpha","Prevent Hepatitis B infection, Avoid liver-damaging substances, Absolute clinical monitoring, Rest"
Hepatitis E,"A liver disease caused by the hepatitis E virus, mainly transmitted through contaminated water.","Ribavirin (in severe cases)","Boil drinking water, practice highly safe food hygiene, Avoid undercooked meat, Rest significantly"
